Num,TS2_Ori
0,65.0
1,65.0
2,65.0
3,65.0
4,65.0
5,65.0
0,65.0
1,65.0
2,65.0
3,65.0
0,65.0
1,65.0
2,65.0
3,65.0
4,65.0
5,65.0
6,65.0
7,65.0
8,65.0
9,65.0
10,65.0
0,65.0
1,65.0
2,65.0
0,65.0
1,65.0
2,65.0
3,65.0
4,65.0
5,65.0
6,65.0
7,65.0
8,65.0
9,65.0
10,65.0
11,65.0
12,65.0
13,65.0
14,65.0
15,65.0
16,65.0
17,65.0
18,65.0
19,65.0
20,65.0
0,65.0
1,65.0
0,65.0
1,65.0
0,65.0
1,65.0
2,65.0
0,65.0
1,65.0
2,65.0
3,65.0
4,65.0
5,65.0
6,65.0
7,65.0
8,65.0
9,65.0
10,65.0
11,65.0
12,65.0
13,65.0
14,65.0
15,65.0
16,65.0
17,65.0
18,65.0
19,65.0
20,65.0
21,65.0
22,65.0
0,65.0
1,65.0
